market,ticker,event_type,occurred_at,magnitude,source,confidence,raw_json
KR,035420,EARNINGS_MISS,2022-01-20,0.256636,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_MISS""}"
KR,005930,INSIDER_BUY,2022-01-24,0.006084,synthetic,1.0,"{""synthetic"": true, ""template"": ""INSIDER_BUY""}"
KR,012450,ANALYST_TARGET_UP,2022-01-24,0.166545,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,035720,REGULATORY_PROBE,2022-02-01,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,263750,ANALYST_RATING_UP,2022-02-02,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,006400,GUIDANCE_RAISE,2022-02-09,0.04999,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,000660,CAPITAL_RAISE,2022-02-25,0.112341,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,068270,GUIDANCE_RAISE,2022-03-01,0.196531,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,068270,EARNINGS_BEAT,2022-03-02,0.379557,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
KR,035720,ANALYST_TARGET_UP,2022-03-07,0.201091,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,035720,CONVERTIBLE_ISSUE,2022-03-10,0.047043,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONVERTIBLE_ISSUE""}"
KR,012450,EARNINGS_MISS,2022-03-14,0.221828,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_MISS""}"
KR,263750,GUIDANCE_RAISE,2022-03-28,0.148281,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,005930,EARNINGS_BEAT,2022-03-30,0.358116,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
KR,035720,ANALYST_RATING_UP,2022-03-30,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,051910,BUYBACK,2022-04-01,0.039546,synthetic,1.0,"{""synthetic"": true, ""template"": ""BUYBACK""}"
KR,068270,EARNINGS_MISS,2022-04-01,0.389468,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_MISS""}"
KR,000660,CONTRACT_WIN,2022-04-05,0.083399,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,035420,CONTRACT_WIN,2022-04-11,0.066483,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,051910,BUYBACK,2022-04-11,0.038762,synthetic,1.0,"{""synthetic"": true, ""template"": ""BUYBACK""}"
KR,068270,EARNINGS_MISS,2022-04-11,0.122736,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_MISS""}"
KR,068270,CAPITAL_RAISE,2022-04-15,0.109529,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,035720,CAPITAL_RAISE,2022-04-20,0.172051,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,012450,EARNINGS_BEAT,2022-04-25,0.266708,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
KR,035720,ANALYST_TARGET_UP,2022-04-27,0.207048,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,006400,CAPITAL_RAISE,2022-05-02,0.112887,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,000660,INSIDER_BUY,2022-05-03,0.004772,synthetic,1.0,"{""synthetic"": true, ""template"": ""INSIDER_BUY""}"
KR,207940,CONTRACT_WIN,2022-05-06,0.251215,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,035720,REGULATORY_PROBE,2022-05-10,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,006400,GUIDANCE_RAISE,2022-05-19,0.123513,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,035420,EARNINGS_BEAT,2022-05-19,0.057376,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
KR,207940,CAPITAL_RAISE,2022-05-31,0.141356,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,000660,REGULATORY_PROBE,2022-06-10,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,068270,ANALYST_RATING_UP,2022-06-13,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,035420,INSIDER_BUY,2022-06-15,0.006901,synthetic,1.0,"{""synthetic"": true, ""template"": ""INSIDER_BUY""}"
KR,263750,REGULATORY_PROBE,2022-06-20,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,005930,EARNINGS_MISS,2022-06-24,0.346503,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_MISS""}"
KR,035720,ANALYST_TARGET_UP,2022-06-27,0.056878,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,000660,GUIDANCE_RAISE,2022-06-30,0.08883,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,035420,BUYBACK,2022-07-05,0.029228,synthetic,1.0,"{""synthetic"": true, ""template"": ""BUYBACK""}"
KR,068270,CAPITAL_RAISE,2022-07-06,0.076763,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,005930,ANALYST_RATING_UP,2022-07-12,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,263750,EARNINGS_BEAT,2022-07-12,0.086083,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
KR,207940,GUIDANCE_RAISE,2022-07-14,0.040916,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,006400,CONTRACT_WIN,2022-07-15,0.257054,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,263750,CONVERTIBLE_ISSUE,2022-07-22,0.027413,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONVERTIBLE_ISSUE""}"
KR,051910,CONTRACT_WIN,2022-07-28,0.091962,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,068270,CONTRACT_WIN,2022-07-29,0.187993,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,068270,REGULATORY_PROBE,2022-08-09,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,207940,ANALYST_TARGET_UP,2022-08-18,0.153755,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,263750,CONVERTIBLE_ISSUE,2022-08-22,0.095037,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONVERTIBLE_ISSUE""}"
KR,263750,GUIDANCE_RAISE,2022-08-26,0.035614,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,051910,GUIDANCE_RAISE,2022-08-30,0.104396,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
KR,035420,REGULATORY_PROBE,2022-09-06,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,051910,CONTRACT_WIN,2022-09-14,0.059682,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,035420,ANALYST_TARGET_UP,2022-09-23,0.17215,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,006400,ANALYST_RATING_UP,2022-09-26,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,207940,REGULATORY_PROBE,2022-09-30,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,051910,ANALYST_RATING_UP,2022-10-04,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
KR,006400,CONTRACT_WIN,2022-10-07,0.234114,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,263750,ANALYST_TARGET_UP,2022-10-07,0.172322,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
KR,035420,INSIDER_BUY,2022-10-26,0.004634,synthetic,1.0,"{""synthetic"": true, ""template"": ""INSIDER_BUY""}"
KR,207940,CAPITAL_RAISE,2022-10-27,0.067923,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,068270,CONTRACT_WIN,2022-10-31,0.150218,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,207940,CAPITAL_RAISE,2022-11-03,0.1547,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
KR,263750,REGULATORY_PROBE,2022-11-07,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
KR,005930,CONTRACT_WIN,2022-11-11,0.045619,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
KR,035720,INSIDER_BUY,2022-11-17,0.017346,synthetic,1.0,"{""synthetic"": true, ""template"": ""INSIDER_BUY""}"
