market,ticker,event_type,occurred_at,magnitude,source,confidence,raw_json
US,ANET,BUYBACK,2022-01-19,0.034695,synthetic,1.0,"{""synthetic"": true, ""template"": ""BUYBACK""}"
US,META,ANALYST_RATING_UP,2022-01-20,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
US,PLTR,GUIDANCE_RAISE,2022-01-21,0.054852,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
US,PLTR,CONTRACT_WIN,2022-01-28,0.295788,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
US,TSLA,ANALYST_RATING_UP,2022-02-01,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_RATING_UP""}"
US,PLTR,EARNINGS_BEAT,2022-02-10,0.363995,synthetic,1.0,"{""synthetic"": true, ""template"": ""EARNINGS_BEAT""}"
US,PLTR,GUIDANCE_RAISE,2022-02-14,0.173131,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
US,AVGO,CONVERTIBLE_ISSUE,2022-02-15,0.095218,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONVERTIBLE_ISSUE""}"
US,AAPL,CONTRACT_WIN,2022-02-25,0.14885,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
US,AMZN,GUIDANCE_RAISE,2022-02-25,0.107337,synthetic,1.0,"{""synthetic"": true, ""template"": ""GUIDANCE_RAISE""}"
US,AVGO,CAPITAL_RAISE,2022-03-04,0.15443,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
US,NVDA,REGULATORY_PROBE,2022-03-04,1.0,synthetic,1.0,"{""synthetic"": true, ""template"": ""REGULATORY_PROBE""}"
US,AMZN,CONTRACT_WIN,2022-03-07,0.228862,synthetic,1.0,"{""synthetic"": true, ""template"": ""CONTRACT_WIN""}"
US,MSFT,CAPITAL_RAISE,2022-03-07,0.129838,synthetic,1.0,"{""synthetic"": true, ""template"": ""CAPITAL_RAISE""}"
US,AVGO,ANALYST_TARGET_UP,2022-03-08,0.129951,synthetic,1.0,"{""synthetic"": true, ""template"": ""ANALYST_TARGET_UP""}"
